EXTRELNO,EXRELACTCD,EXTRELSTDT,EXRELDATEN
157703,PS,2007-10-03,2007-10-14
157703,FP,2007-10-29,2008-06-29
157708,PS,2007-10-03,2008-01-22
157708,FP,2008-01-29,NaT
157708,CT,2015-07-19,NaT
157718,PS,2007-10-03,2008-05-12
157718,FP,2008-05-28,NaT
157733,PS,2007-10-03,NaT
157738,PS,2007-10-03,2007-10-17
157738,FP,2007-10-29,NaT
157739,PS,2007-10-03,NaT
157745,PS,2007-10-03,NaT
157764,PS,2007-10-03,NaT
157783,PS,2007-10-04,NaT
157796,PS,2007-10-07,2007-10-17
157796,FP,2007-10-29,2012-01-18
157798,PS,2007-10-07,NaT
157803,PS,2007-10-08,NaT
157806,PS,2007-10-08,2007-10-16
157806,FP,2007-10-29,NaT
157816,PS,2007-10-08,2007-10-17
157816,FP,2007-10-29,NaT
157824,PS,2007-10-08,NaT
157828,PS,2007-10-09,2007-10-24
157828,FP,2007-10-29,NaT
157830,PS,2007-10-09,2007-10-21
157830,FP,2007-10-29,NaT
157830,CT,2018-01-29,NaT
157833,PS,2007-10-09,2007-12-13
157833,FP,2007-12-29,2008-08-18
157844,PS,2007-10-10,NaT
157848,PS,2007-10-10,2008-01-16
157848,FP,2008-01-29,2009-05-20
157855,PS,2007-10-10,2007-10-18
157855,FP,2007-10-29,NaT
157856,PS,2007-10-10,NaT
157870,PS,2007-10-10,NaT
157872,PS,2007-10-10,NaT
157877,PS,2007-10-10,NaT
157883,CT,2007-10-10,NaT
157888,FP,2007-09-28,NaT
157890,PS,2007-10-10,NaT
157892,PS,2007-10-11,NaT
157894,PS,2007-10-11,2007-11-25
157894,FP,2007-11-28,NaT
157911,PS,2007-10-14,NaT
157915,PS,2007-10-14,2007-11-05
157915,FP,2007-10-29,2014-06-02
157917,PS,2007-10-14,2012-02-12
157917,FP,2012-02-26,2017-02-28
157918,PS,2007-10-14,2007-11-04
157918,FP,2007-10-29,2016-01-11
157927,FP,2007-10-29,2009-10-20
157930,PS,2007-10-15,2007-10-31
157930,FP,2007-10-29,2019-01-28
157931,PS,2007-10-15,2007-10-25
157931,FP,2007-10-29,2015-07-21
157937,PS,2007-10-15,2007-11-28
157937,FP,2007-11-28,2010-09-07
157937,CT,2011-01-17,NaT
157937,FP,2011-09-28,NaT
157941,PS,2007-10-15,2007-10-24
157941,FP,2007-10-29,2017-05-09
157951,PS,2007-10-15,2007-10-23
157951,FP,2007-10-29,NaT
157962,PS,2007-10-15,NaT
157963,FP,2007-10-29,2007-10-15
157963,PS,2007-10-15,NaT
157979,PS,2007-10-16,2007-11-04
157979,FP,2007-10-29,NaT
157987,PS,2007-10-16,NaT
157992,FP,2007-10-29,2010-05-31
157995,CT,2007-10-17,NaT
157996,PS,2007-10-17,NaT
158000,PS,2007-10-17,NaT
158001,CT,2007-10-17,NaT
158016,CT,2007-10-17,NaT
158019,PS,2007-10-17,NaT
158034,FP,2007-10-29,NaT
158036,FP,2007-10-29,2013-06-30
158036,CT,2014-04-17,NaT
158046,PS,2007-10-21,NaT
158058,FP,2007-10-29,2017-05-09
158064,PS,2007-10-21,NaT
158066,PS,2007-10-21,NaT
158068,PS,2007-10-21,2007-11-06
158068,FP,2007-10-29,NaT
158069,FP,2007-10-29,NaT
158069,CT,2007-11-19,NaT
158070,FP,2007-10-29,NaT
158075,PS,2007-10-21,2007-10-25
158075,FP,2007-10-29,2009-10-18
158079,AP,2007-10-21,2010-12-27
158091,PS,2007-10-22,2008-01-06
158093,PS,2007-10-22,2007-11-20
158093,FP,2007-11-28,NaT
158093,CT,2014-02-09,NaT
158100,PS,2007-10-22,2007-11-05
158100,FP,2007-10-29,2015-01-22
158102,PS,2007-10-22,2007-11-14
158102,FP,2007-11-28,NaT
158108,PS,2007-10-22,NaT
158114,PS,2007-10-22,2007-11-13
158114,FP,2007-11-28,NaT
158114,CT,2007-11-29,NaT
158118,PS,2007-10-22,2007-11-13
158118,FP,2007-11-28,2013-04-29
158118,CT,2010-11-30,NaT
158120,PS,2007-10-22,2007-11-13
158120,FP,2007-11-28,NaT
158122,PS,2007-10-22,2008-01-07
158122,FP,2007-12-29,NaT
158123,PS,2007-10-22,2007-11-05
158123,FP,2007-10-29,2019-05-13
158125,PS,2007-10-22,2007-11-13
158125,FP,2007-11-28,NaT
158131,FP,2007-10-29,2009-11-11
158131,FP,2009-12-29,2010-11-04
158139,PS,2007-10-23,2007-11-06
158139,FP,2007-10-29,2007-11-14
158139,FP,2007-11-28,NaT
158139,CT,2015-01-27,NaT
158146,PS,2007-10-23,2007-11-28
158146,FP,2007-11-28,NaT
158147,PS,2007-10-23,2007-11-13
158147,FP,2007-11-28,NaT
158149,PS,2007-10-23,2007-11-07
158149,FP,2007-10-29,NaT
158149,CT,2014-12-31,NaT
158153,PS,2007-10-23,2007-11-15
158153,FP,2007-11-28,NaT
158153,CT,2016-05-18,NaT
158158,CT,2007-10-23,NaT
158160,PS,2007-10-23,2007-11-25
158160,FP,2007-11-28,2013-03-04
158165,PS,2007-10-24,2013-05-22
158165,FP,2013-05-29,2018-06-18
158165,CT,2013-06-06,NaT
158166,PS,2007-10-24,2008-01-07
158166,FP,2007-12-29,2008-05-11
158172,PS,2007-10-24,NaT
158174,PS,2007-10-24,NaT
158178,PS,2007-10-24,NaT
158180,PS,2007-10-24,2007-11-13
158180,FP,2007-11-28,2015-11-12
158182,PS,2007-10-25,2013-01-01
158182,FP,2013-01-28,NaT
158183,PS,2007-10-25,NaT
158184,PS,2007-10-25,2007-11-20
158184,FP,2007-11-28,2011-03-01
158189,PS,2007-10-25,2007-11-06
158189,FP,2007-10-29,2008-03-20
158198,PS,2007-10-25,NaT
158200,PS,2007-10-25,NaT
158202,FP,2007-10-29,NaT
158218,PS,2007-10-30,NaT
158220,PS,2007-10-30,2007-11-05
158220,FP,2007-10-29,NaT
158226,PS,2007-10-30,2007-11-28
158226,FP,2007-11-28,NaT
158227,PS,2007-10-30,NaT
158241,PS,2007-10-31,2007-11-14
158241,FP,2007-11-28,2015-02-05
158241,CT,2015-03-22,NaT
158251,PS,2007-10-31,NaT
158254,PS,2007-10-31,2007-11-13
158254,FP,2007-11-28,NaT
158256,PS,2007-10-31,NaT
158265,PS,2007-10-31,NaT
158266,PS,2007-10-31,2008-01-10
158266,FP,2007-12-29,NaT
158268,PS,2007-10-31,NaT
158270,PS,2007-10-31,2007-11-14
158270,FP,2007-11-28,2019-05-13
158274,PS,2007-11-01,NaT
158279,PS,2007-11-01,2007-11-14
158279,FP,2007-11-28,NaT
158279,CT,2015-08-05,NaT
158286,PF,2007-11-01,NaT
158289,PS,2007-11-01,2007-11-13
158289,FP,2007-11-28,NaT
158296,PS,2007-11-04,NaT
158304,PS,2007-11-04,2013-03-17
158304,FP,2013-03-29,NaT
158309,PS,2007-11-04,NaT
158310,FP,2007-10-29,NaT
158312,PS,2007-11-04,NaT
158316,PS,2007-11-04,2007-11-22
158316,FP,2007-11-28,NaT
158319,PS,2007-11-05,2008-09-18
158319,FP,2008-09-27,NaT
158325,PS,2007-11-05,2007-11-20
158325,FP,2007-11-28,NaT
158332,PS,2007-11-05,2007-11-26
158332,FP,2007-11-28,2011-08-18
158335,PS,2007-11-05,2007-11-13
158335,FP,2007-11-28,NaT
158352,PS,2007-11-26,NaT
158354,PS,2007-11-26,2007-12-19
158354,FP,2007-12-29,NaT
158368,PS,2007-11-26,NaT
158375,PS,2007-11-26,2008-03-24
158375,FP,2008-03-28,2009-01-29
158376,PS,2007-11-26,NaT
158397,PS,2007-11-26,NaT
158404,PS,2007-11-26,NaT
158405,PS,2007-11-26,NaT
158414,PS,2007-11-26,2007-12-02
158414,FP,2007-11-28,2009-06-14
158419,PS,2007-11-26,2007-12-04
158419,FP,2007-11-28,NaT
158425,PS,2007-11-26,NaT
158433,PS,2007-11-26,NaT
158436,PS,2007-11-26,NaT
158442,PS,2007-11-26,2007-12-03
158442,FP,2007-11-28,2011-08-31
158443,PS,2007-11-26,NaT
158453,PS,2007-11-26,2007-12-05
158453,FP,2007-11-28,NaT
158454,PS,2007-11-26,2008-08-04
158454,FP,2008-07-28,NaT
158454,CT,2014-04-09,NaT
158456,PS,2007-11-26,NaT
158458,PS,2007-11-26,2008-01-27
158458,FP,2008-01-29,2013-03-06
158458,CT,2013-03-06,NaT
158463,PS,2007-11-26,NaT
158479,PS,2007-11-26,2007-12-27
158479,FP,2007-12-29,NaT
158482,PS,2007-11-26,NaT
158488,PS,2007-11-26,2007-12-06
158488,FP,2007-11-28,NaT
158492,PS,2007-11-26,NaT
158497,PS,2007-11-26,2007-12-25
158497,FP,2007-12-29,NaT
158498,PS,2007-11-26,NaT
158500,PS,2007-11-26,2007-12-10
158500,FP,2007-11-28,2015-06-02
158501,PS,2007-11-26,2007-12-06
158501,FP,2007-11-28,NaT
158504,PS,2007-11-26,2008-01-17
158504,FP,2008-01-29,2014-03-03
158504,CT,2012-11-28,2014-03-18
158504,FP,2013-08-29,NaT
158504,CT,2014-05-14,NaT
158507,PS,2007-11-26,2008-01-21
158507,FP,2008-01-29,2011-11-15
158510,PS,2007-11-26,NaT
158517,PS,2007-11-26,2007-12-03
158517,FP,2007-11-28,NaT
158517,CT,2010-03-07,NaT
158521,PS,2007-11-26,NaT
158523,PS,2007-11-26,NaT
158529,PS,2007-11-26,NaT
158530,PS,2007-11-26,NaT
158533,PS,2007-11-26,NaT
158544,PS,2007-11-26,NaT
158553,PS,2007-11-26,NaT
158558,PS,2007-11-26,NaT
158561,PS,2007-11-26,NaT
158567,PS,2007-11-26,2007-12-04
158567,FP,2007-11-28,2009-11-12
158571,PS,2007-11-26,2007-12-27
158571,FP,2007-12-29,2012-09-18
158572,PS,2007-11-26,NaT
158581,PS,2007-11-26,NaT
158584,PS,2007-11-26,NaT
158591,PS,2007-11-26,NaT
158602,PS,2007-11-26,NaT
158612,PS,2007-11-26,2007-12-19
158612,FP,2007-12-29,NaT
158616,PS,2007-11-26,NaT
158617,PS,2007-11-26,NaT
158620,PS,2007-11-26,NaT
158627,PS,2007-11-26,NaT
158628,PS,2007-11-26,NaT
158630,PS,2007-11-26,NaT
158635,PS,2007-11-26,NaT
158642,PS,2007-11-26,NaT
158644,PS,2007-11-26,NaT
158651,PS,2007-11-26,NaT
158655,PS,2007-11-26,NaT
158660,PS,2007-11-26,2008-01-03
158660,FP,2007-12-29,2011-08-18
158664,PS,2007-11-26,2007-12-05
158664,FP,2007-11-28,NaT
158665,PS,2007-11-26,2007-12-05
158665,FP,2007-11-28,NaT
158668,PS,2007-11-26,NaT
158668,MR,2012-03-12,NaT
158669,PS,2007-11-26,NaT
158676,PS,2007-11-26,NaT
158682,PS,2007-11-26,NaT
158697,PS,2007-11-26,NaT
158702,PS,2007-11-26,NaT
158703,PS,2007-11-26,NaT
158707,PS,2007-11-26,2008-01-15
158707,FP,2008-01-29,NaT
158711,PS,2007-11-26,NaT
158718,PS,2007-11-26,NaT
158722,PS,2007-11-26,2007-12-05
158722,FP,2007-11-28,2009-02-11
158727,PS,2007-11-26,NaT
158728,PS,2007-11-26,NaT
158731,PS,2007-11-26,NaT
158734,PS,2007-11-26,2007-12-09
158734,FP,2007-11-28,2008-08-17
158735,PS,2007-11-26,2007-12-02
158735,FP,2007-11-28,NaT
158735,CT,2018-03-29,NaT
158737,PS,2007-11-26,2007-12-05
158737,FP,2007-11-28,2012-09-03
158737,CT,2010-11-03,NaT
158738,PS,2007-11-26,NaT
158743,PS,2007-11-26,NaT
158747,PS,2007-11-26,NaT
158755,PS,2007-11-26,2008-01-02
158755,FP,2007-12-29,NaT
158759,PS,2007-11-26,2007-12-03
158759,FP,2007-11-28,NaT
158767,PS,2007-11-26,NaT
158776,PS,2007-11-26,2007-12-05
158776,FP,2007-11-28,NaT
158780,PS,2007-11-26,NaT
158786,PS,2007-11-26,2007-12-05
158786,FP,2007-11-28,NaT
158818,PS,2007-11-26,2008-01-22
158818,FP,2008-01-29,NaT
158827,PS,2007-11-26,2007-12-03
158827,FP,2007-11-28,NaT
158831,PS,2007-11-26,NaT
158831,MR,2012-03-15,NaT
158840,PS,2007-11-26,NaT
158841,PS,2007-11-26,NaT
158842,PS,2007-11-26,2007-12-10
158842,FP,2007-11-28,NaT
158842,CT,2015-10-05,NaT
158844,PS,2007-11-26,NaT
158846,PS,2007-11-26,2007-12-18
158846,FP,2007-12-29,NaT
158859,PS,2007-11-26,NaT
158864,PS,2007-11-26,2007-12-09
158864,FP,2007-11-28,2016-03-24
158866,PS,2007-11-26,NaT
158867,PS,2007-11-26,NaT
158875,PS,2007-11-26,2008-01-16
158875,FP,2008-01-29,NaT
158879,PS,2007-11-26,NaT
158881,PS,2007-11-26,2007-12-09
158881,FP,2007-11-28,NaT
158885,PS,2007-11-26,2007-12-09
158885,FP,2007-11-28,2010-11-25
158889,PS,2007-11-26,NaT
158892,PS,2007-11-26,2008-03-09
158892,FP,2008-02-26,NaT
158897,PS,2007-11-26,2007-12-02
158897,FP,2007-11-28,2019-01-06
158899,PS,2007-11-26,NaT
158914,PS,2007-11-26,2007-12-09
158914,FP,2007-11-28,2009-12-16
158921,PS,2007-11-26,2007-12-17
158921,FP,2007-12-29,2014-07-10
158935,PS,2007-11-26,NaT
158936,PS,2007-11-26,NaT
158937,PS,2007-11-26,NaT
158939,PS,2007-11-26,NaT
158941,PS,2007-11-26,NaT
158950,PS,2007-11-26,NaT
158953,PS,2007-11-26,NaT
158957,PS,2007-11-26,2011-08-03
158957,FP,2011-07-29,NaT
158964,PS,2007-11-26,2007-12-03
158964,FP,2007-11-28,2010-09-07
158967,PS,2007-11-26,NaT
158970,PS,2007-11-26,2007-12-04
158970,FP,2007-11-28,NaT
158973,PS,2007-11-26,2007-12-03
158973,FP,2007-11-28,2017-01-10
158977,PS,2007-11-26,2008-01-02
158977,FP,2007-12-29,NaT
158981,PS,2007-11-26,2008-02-21
158981,FP,2008-02-26,2009-02-04
158988,PS,2007-11-26,NaT
158993,PS,2007-11-26,NaT
158994,PS,2007-11-26,2008-01-27
158994,FP,2008-01-29,NaT
159003,PS,2007-11-26,NaT
159004,PS,2007-11-26,2007-12-10
159004,FP,2007-11-28,NaT
159009,PS,2007-11-26,NaT
159012,PS,2007-11-26,NaT
159013,PS,2007-11-26,2008-01-09
159013,FP,2007-12-29,2012-02-06
159019,PS,2007-11-26,2008-01-16
159019,FP,2008-01-29,NaT
159025,PS,2007-11-26,2007-12-06
159025,FP,2007-11-28,NaT
159036,PS,2007-11-26,2007-12-02
159036,FP,2007-11-28,2016-12-05
159037,PS,2007-11-26,NaT
159041,PS,2007-11-26,2007-12-03
159041,FP,2007-11-28,NaT
159050,PS,2007-11-26,NaT
159067,PS,2007-11-26,NaT
159071,PS,2007-11-26,NaT
159074,PS,2007-11-26,2008-07-03
159074,FP,2008-06-27,NaT
159075,PS,2007-11-26,NaT
159076,PS,2007-11-26,NaT
159082,PS,2007-11-26,2008-01-28
159082,FP,2008-01-29,NaT
159092,PS,2007-11-26,NaT
159096,PS,2007-11-26,NaT
159099,PS,2007-11-26,2007-12-04
159099,FP,2007-11-28,2010-07-01
159099,CT,2010-03-07,NaT
159111,PS,2007-11-26,2007-12-04
159111,FP,2007-11-28,2008-03-02
159116,PS,2007-11-26,2007-12-03
159116,FP,2007-11-28,2013-03-17
159123,PS,2007-11-26,NaT
159124,PS,2007-11-26,NaT
159129,PS,2007-11-26,NaT
159140,PS,2007-11-26,2008-01-10
159140,FP,2007-12-29,2011-06-16
159144,PS,2007-11-26,2007-12-27
159144,FP,2007-12-29,NaT
159144,CT,2014-03-06,NaT
159153,PS,2007-11-26,NaT
159154,PS,2007-11-26,NaT
159156,PS,2007-11-26,2007-12-03
159156,FP,2007-11-28,2008-11-04
159161,PS,2007-11-26,NaT
159162,PS,2007-11-26,NaT
159179,PS,2007-11-26,NaT
159184,PS,2007-11-26,NaT
159188,PS,2007-11-26,2007-12-17
159188,FP,2007-12-29,NaT
159195,PS,2007-11-26,NaT
159202,PS,2007-11-26,NaT
159209,PS,2007-11-26,NaT
159210,PS,2007-11-26,2007-12-11
159210,FP,2007-11-28,NaT
159211,PS,2007-11-26,NaT
159216,PS,2007-11-26,2007-12-04
159216,FP,2007-11-28,2008-10-30
159223,PS,2007-11-26,2007-12-02
159223,FP,2007-11-28,NaT
159229,PS,2007-11-26,NaT
159234,PS,2007-11-26,2008-01-22
159234,FP,2008-01-29,NaT
159236,PS,2007-11-26,2007-12-02
159236,FP,2007-11-28,2013-11-03
159242,PS,2007-11-26,2007-12-11
159242,FP,2007-11-28,NaT
159244,PS,2007-11-26,2007-12-18
159244,FP,2007-12-29,NaT
159250,PS,2007-11-26,NaT
159251,PS,2007-11-26,NaT
159255,PS,2007-11-26,2007-12-03
159255,FP,2007-11-28,NaT
159255,CT,2014-06-03,NaT
159266,PS,2007-11-26,NaT
159269,PS,2007-11-26,NaT
159272,PS,2007-11-26,NaT
159275,PS,2007-11-26,2007-12-04
159275,FP,2007-11-28,NaT
159280,PS,2007-11-26,NaT
159288,PS,2007-11-26,NaT
159290,PS,2007-11-26,2007-12-17
159290,FP,2007-12-29,NaT
159315,PS,2007-11-26,2008-01-01
159315,FP,2007-12-29,2015-05-04
159321,PS,2007-11-26,2007-12-02
159321,FP,2007-11-28,NaT
159324,PS,2007-11-26,NaT
159331,PS,2007-11-26,2007-12-05
159331,FP,2007-11-28,NaT
159332,PS,2007-11-26,NaT
159342,PS,2007-11-26,NaT
159355,PS,2007-11-26,2008-01-09
159355,FP,2007-12-29,2018-04-30
159359,PS,2007-11-26,2007-12-03
159359,FP,2007-11-28,2013-09-09
159364,PS,2007-11-26,NaT
159368,PS,2007-11-26,2008-01-22
159368,FP,2008-01-29,NaT
159372,PS,2007-11-26,2008-01-28
159372,FP,2008-01-29,NaT
159377,PS,2007-11-26,NaT
159378,PS,2007-11-26,2008-01-21
159378,FP,2008-01-29,2008-02-07
159386,PS,2007-11-26,2007-12-04
159386,FP,2007-11-28,NaT
159389,PS,2007-11-26,2008-01-31
159389,FP,2008-01-29,2017-09-05
159389,CT,2014-02-27,NaT
159393,PS,2007-11-26,2007-12-09
159393,FP,2007-11-28,NaT
159395,PS,2007-11-26,NaT
159397,PS,2007-11-26,NaT
159398,PS,2007-11-26,2008-01-27
159398,FP,2008-01-29,NaT
159409,PS,2007-11-26,NaT
159427,PS,2007-11-26,NaT
159430,PS,2007-11-26,NaT
159436,PS,2007-11-26,NaT
159452,PS,2007-11-26,2007-12-06
159452,FP,2007-11-28,NaT
159455,PS,2007-11-26,NaT
159457,PS,2007-11-26,NaT
159459,PS,2007-11-26,NaT
159461,PS,2007-11-26,NaT
159463,PS,2007-11-26,2008-01-01
159463,FP,2007-12-29,2013-12-16
159469,PS,2007-11-26,NaT
159470,PS,2007-11-26,2007-12-03
159470,FP,2007-11-28,2008-10-29
159473,PS,2007-11-26,NaT
159477,PS,2007-11-26,2007-12-03
159477,FP,2007-11-28,2011-03-30
159477,CT,2012-12-04,NaT
159480,PS,2007-11-26,NaT
159483,PS,2007-11-26,NaT
159488,PS,2007-11-26,2007-12-09
159488,FP,2007-11-28,NaT
159491,PS,2007-11-26,2008-01-27
159491,FP,2008-01-29,NaT
159493,PS,2007-11-26,NaT
159494,PS,2007-11-26,NaT
159501,PS,2007-11-26,2008-01-24
159501,FP,2008-01-29,NaT
159502,PS,2007-11-26,2007-12-04
159502,FP,2007-11-28,NaT
159502,CT,2017-10-29,NaT
159509,PS,2007-11-26,NaT
159512,PS,2007-11-26,NaT
159516,PS,2007-11-26,NaT
159517,PS,2007-11-26,2007-12-03
159517,FP,2007-11-28,NaT
159521,PS,2007-11-26,NaT
159529,PS,2007-11-26,2008-02-06
159529,FP,2008-01-29,NaT
159530,PS,2007-11-26,NaT
159540,PS,2007-11-26,2007-12-03
159540,FP,2007-11-28,2012-01-19
159545,PS,2007-11-26,2007-12-09
159545,FP,2007-11-28,NaT
159548,PS,2007-11-26,NaT
159555,PS,2007-11-26,2007-12-17
159555,FP,2007-12-29,NaT
159565,PS,2007-11-26,2007-12-09
159565,FP,2007-11-28,2013-08-20
159569,PS,2007-11-26,NaT
159571,PS,2007-11-26,2008-03-11
159571,FP,2008-03-28,NaT
159575,PS,2007-11-26,2007-12-10
159575,FP,2007-11-28,2010-01-05
159580,PS,2007-11-26,NaT
159583,PS,2007-11-26,NaT
159594,PS,2007-11-26,NaT
159599,PS,2007-11-26,2007-12-05
159599,FP,2007-11-28,NaT
159601,PS,2007-11-26,NaT
159603,PS,2007-11-26,2007-12-09
159603,FP,2007-11-28,2010-09-27
159605,PS,2007-11-26,2007-12-27
159605,FP,2007-12-29,NaT
159606,PS,2007-11-26,2007-12-06
159606,FP,2007-11-28,NaT
159608,PS,2007-11-26,2007-12-05
159608,FP,2007-11-28,NaT
159620,PS,2007-11-26,NaT
159636,PS,2007-11-26,2007-12-04
159636,FP,2007-11-28,NaT
159642,PS,2007-11-26,NaT
159648,PS,2007-11-26,NaT
159655,PS,2007-11-26,2007-12-04
159655,FP,2007-11-28,NaT
159673,PS,2007-11-26,2007-12-09
159673,FP,2007-11-28,NaT
159673,CT,2018-01-29,NaT
159678,PS,2007-11-26,NaT
159686,PS,2007-11-26,NaT
159689,PS,2007-11-26,2007-12-06
159689,FP,2007-11-28,2015-07-20
159690,PS,2007-11-26,2007-12-27
159690,FP,2007-12-29,2018-01-30
159694,PS,2007-11-26,NaT
159695,PS,2007-11-26,NaT
159716,PS,2007-11-26,NaT
159718,PS,2007-11-26,2007-12-06
159718,FP,2007-11-28,NaT
159721,PS,2007-11-26,NaT
159722,PS,2007-11-26,NaT
159726,PS,2007-11-26,NaT
159727,PS,2007-11-26,NaT
159728,PS,2007-11-26,NaT
159750,PS,2007-11-26,NaT
159752,PS,2007-11-26,NaT
159755,PS,2007-11-26,NaT
159767,PS,2007-11-26,2008-01-29
159767,FP,2008-01-29,NaT
159779,PS,2007-11-26,2009-01-06
159779,FP,2008-12-28,NaT
159781,PS,2007-11-26,NaT
159796,PS,2007-11-26,NaT
159805,PS,2007-11-26,2007-12-17
159805,FP,2007-12-29,NaT
159811,PS,2007-11-26,2008-01-20
159811,FP,2008-01-29,NaT
159813,PS,2007-11-26,2007-12-05
159813,FP,2007-11-28,NaT
159814,PS,2007-11-26,2008-03-10
159814,FP,2008-02-26,2012-08-01
159815,PS,2007-11-26,2007-12-03
159815,FP,2007-11-28,NaT
159817,PS,2007-11-26,2007-12-19
159817,FP,2007-12-29,2012-01-30
159817,CT,2011-03-28,NaT
159821,PS,2007-11-26,NaT
159824,PS,2007-11-26,2007-12-03
159824,FP,2007-11-28,NaT
159824,CT,2016-09-06,NaT
159832,PS,2007-11-26,2007-12-04
159832,FP,2007-11-28,2015-03-10
159833,PS,2007-11-26,NaT
159839,PS,2007-11-26,NaT
159854,PS,2007-11-26,NaT
159857,PS,2007-11-26,2008-01-27
159857,FP,2008-01-29,2013-09-09
159858,PS,2007-11-26,2007-12-05
159858,FP,2007-11-28,NaT
159871,PS,2007-11-26,2007-12-09
159871,FP,2007-11-28,NaT
159875,PS,2007-11-26,2007-12-17
159875,FP,2007-12-29,2010-07-29
159878,PS,2007-11-26,2007-12-03
159878,FP,2007-11-28,NaT
159879,PS,2007-11-26,NaT
159883,PS,2007-11-26,NaT
159885,PS,2007-11-26,NaT
159890,PS,2007-11-26,2007-12-11
159890,FP,2007-11-28,2017-02-07
159890,CT,2015-09-14,2017-03-14
159890,FP,2017-03-29,2019-09-30
159892,PS,2007-11-26,NaT
159897,PS,2007-11-26,2007-12-04
159897,FP,2007-11-28,2015-02-25
159907,PS,2007-11-26,2008-01-17
159907,FP,2008-01-29,NaT
159909,PS,2007-11-26,2007-12-04
159909,FP,2007-11-28,2018-06-24
159909,CT,2015-07-14,NaT
159917,PS,2007-11-26,NaT
159924,PS,2007-11-26,NaT
159927,PS,2007-11-26,2007-12-17
159927,FP,2007-12-29,2016-06-01
159937,PS,2007-11-26,NaT
159949,PS,2007-11-26,2007-12-06
159949,FP,2007-11-28,2016-09-07
159950,PS,2007-11-26,NaT
159953,PS,2007-11-26,NaT
159954,PS,2007-11-26,NaT
159955,PS,2007-11-26,NaT
159959,PS,2007-11-26,NaT
159963,PS,2007-11-26,2007-12-09
159963,FP,2007-11-28,2015-12-07
159966,PS,2007-11-26,NaT
159970,PS,2007-11-26,2007-12-26
159970,FP,2007-12-29,2016-05-31
159970,CT,2011-01-04,NaT
159983,PS,2007-11-26,2013-01-03
159983,FP,2012-12-28,2016-06-09
160000,PS,2007-11-26,NaT
160004,PS,2007-11-26,2007-12-18
160004,FP,2007-12-29,2012-07-01
160009,PS,2007-11-26,NaT
160013,PS,2007-11-26,NaT
160016,PS,2007-11-26,NaT
160023,PS,2007-11-26,2007-12-04
160023,FP,2007-11-28,NaT
160024,PS,2007-11-26,NaT
160041,PS,2007-11-26,NaT
160042,PS,2007-11-26,2008-04-16
160042,FP,2008-04-27,NaT
160042,CT,2017-03-30,NaT
160046,PS,2007-11-26,NaT
160047,PS,2007-11-26,2007-12-17
160047,FP,2007-12-29,NaT
160049,PS,2007-11-26,NaT
160050,PS,2007-11-26,NaT
160058,PS,2007-11-26,2007-12-04
160058,FP,2007-11-28,2010-09-28
160060,PS,2007-11-26,NaT
160066,PS,2007-11-26,2007-12-09
160066,FP,2007-11-28,NaT
160067,PS,2007-11-26,2007-12-27
160067,FP,2007-12-29,NaT
160067,CT,2017-12-29,NaT
160070,PS,2007-11-26,2008-02-06
160070,FP,2008-01-29,NaT
160074,PS,2007-11-26,2007-12-06
160074,FP,2007-11-28,NaT
160078,PS,2007-11-26,NaT
160079,PS,2007-11-26,2007-12-17
160079,FP,2007-12-29,NaT
160088,PS,2007-11-26,NaT
160098,PS,2007-11-26,NaT
160103,PS,2007-11-26,2007-12-09
160103,FP,2007-11-28,2016-05-08
160107,PS,2007-11-26,NaT
160117,PS,2007-11-26,2007-12-03
160117,FP,2007-11-28,NaT
160119,PS,2007-11-26,NaT
160127,PS,2007-11-26,2007-12-09
160127,FP,2007-11-28,NaT
160128,PS,2007-11-26,NaT
160132,PS,2007-11-26,NaT
160134,PS,2007-11-26,2007-12-05
160134,FP,2007-11-28,NaT
160137,PS,2007-11-26,2007-12-03
160137,FP,2007-11-28,NaT
160141,PS,2007-11-26,2008-01-17
160141,FP,2008-01-29,2018-04-30
160148,PS,2007-11-26,2007-12-06
160148,FP,2007-11-28,NaT
160150,PS,2007-11-26,2008-01-24
160150,FP,2008-01-29,2014-01-08
160153,PS,2007-11-26,2007-12-02
160153,FP,2007-11-28,2009-03-22
160155,PS,2007-11-26,2007-12-04
160155,FP,2007-11-28,NaT
160155,CT,2014-11-04,NaT
160172,PS,2007-11-26,2007-12-04
160172,FP,2007-11-28,2015-04-07
160174,PS,2007-11-26,NaT
160176,PS,2007-11-26,NaT
160179,PS,2007-11-26,NaT
160180,PS,2007-11-26,2007-12-18
160180,FP,2007-12-29,NaT
160182,PS,2007-11-26,2007-12-19
160182,FP,2007-12-29,NaT
160183,PS,2007-11-26,2007-12-10
160183,FP,2007-11-28,2012-04-23
160184,PS,2007-11-26,NaT
160185,PS,2007-11-26,2008-01-20
160185,FP,2008-01-29,NaT
160185,CT,2017-04-24,NaT
160191,PS,2007-11-26,2007-12-18
160191,FP,2007-12-29,NaT
160195,PS,2007-11-26,2007-12-05
160195,FP,2007-11-28,NaT
160207,PS,2007-11-26,NaT
160209,PS,2007-11-26,NaT
160214,PS,2007-11-26,NaT
160216,PS,2007-11-26,NaT
160219,PS,2007-11-26,NaT
160224,PS,2007-11-26,2007-12-09
160224,FP,2007-11-28,2019-04-25
160224,CT,2014-03-04,NaT
160228,PS,2007-11-26,2007-12-05
160228,FP,2007-11-28,NaT
