,Unnamed: 0,Monetary_score,Total_quantity,Number_order,recency_score,days_customer,amount_cc,amount_diet,amount_energy,amount_lemonade,amount_other,amount_sprite_fanta,amount_water,count,complaint,DaysLastcomp,Percentage_firstcall,DaysToClose,Daysdiff,ActualEmployees,CreditNumericScore,clv,spendingRatio,churn,high_value
4698,4698,51956.6,2619,593,1,2206,20586.0,9136.0,2121.6,844.0,2507.0,8232.0,8530.0,3,1,223.0,0.666666666666667,1.33333333333333,0.0,12.0,93.0,1070208.0,0.0647433756805808,0,1
4704,4704,14411.0,663,225,1,2234,2694.0,348.0,1314.0,808.0,1510.0,4623.0,3114.0,2,1,31.0,0.5,4.0,0.0,3.0,81.0,301080.0,0.039511811023622,0,0
4713,4713,19906.4,309,204,15,2242,2310.0,1785.0,10970.4,3080.0,0.0,1725.0,36.0,5,1,185.0,0.4,0.4,0.0,13.0,90.0,295542.0,0.0191661478599222,0,0
4719,4719,1318.4,56,24,0,2211,102.0,344.0,100.0,152.0,220.4,0.0,400.0,2,1,386.0,1.0,0.651587908472505,-0.6216943551068019,30.0,98.0,38352.0,0.0004738324684951,0,0
4725,4725,4886.0,166,31,14,2246,0.0,0.0,0.0,0.0,0.0,0.0,4886.0,2,1,128.0,0.0,0.0,0.0,4.0,80.0,98280.0,0.023568345323741,1,0
4726,4726,6273.6,232,163,6,2246,1074.0,278.0,726.0,1076.0,973.6,868.0,1278.0,0,0,178.787469145672,0.6098328354558891,0.6795591682964829,-0.765718705888896,2.0,73.0,132468.0,0.0106144230769231,0,0
4728,4728,9080.0,420,204,14,2240,2516.0,698.0,0.0,376.0,2360.0,3096.0,34.0,2,1,192.0,0.5,0.0,-3.5,3.0,86.0,169500.0,0.0338323353293413,1,0
4730,4730,858198.0,49487,451,1,2234,238686.0,235446.0,0.0,152640.0,72930.0,154464.0,4032.0,19,1,31.0,0.105263157894737,1.06666666666667,0.0,22.0182211818927,43.0,16443540.0,0.1926644809984069,0,1
4736,4736,4194.8,165,98,34,2229,418.0,452.0,786.8,522.0,242.0,486.0,1288.0,1,1,346.0,1.0,1.03419874940786,-2.39718573550642,25.0,97.0,62484.00000000001,0.0004227318855287,0,0
4745,4745,4504.0,186,95,15,2212,1538.0,316.0,834.0,488.0,-34.0,838.0,524.0,3,1,0.0,0.333333333333333,0.0,-1.33333333333333,2.0,73.0,93900.0,0.0050402576489533,0,0
4751,4751,489488.4,21295,1031,1,2240,291993.8,47152.6,43642.8,4054.0,7506.4,81068.8,14070.0,1,1,197.0,0.0,0.0,0.0,10.0,86.0,9573492.0,0.143101524663677,0,1
4753,4753,112651.0,1301,529,1,2239,40110.0,7875.0,28330.0,12485.0,3355.0,20460.0,36.0,6,1,64.0,0.5,1.2,-1.2,6.0,86.0,2173380.0,0.248955326460481,0,1
