,Unnamed: 0,Monetary_score,Total_quantity,Number_order,recency_score,days_customer,amount_cc,amount_diet,amount_energy,amount_lemonade,amount_other,amount_sprite_fanta,amount_water,count,complaint,DaysLastcomp,Percentage_firstcall,DaysToClose,Daysdiff,ActualEmployees,CreditNumericScore,clv,spendingRatio,churn,high_value
3,3,1289.0,74,23,21,16598,435.0,593.0,139.0,0.0,0.0,122.0,0.0,2,1,303.0,1.0,0.0,-1.0,3.0,90.0,22350.0,0.0014636542239685,0,0
15,15,1772.0,84,33,21,12095,384.0,140.0,176.0,240.0,438.0,140.0,254.0,0,0,206.297445500876,0.474130067224493,0.655744707220394,-0.293320528282102,5.0,89.0,29340.0,0.0149223056770308,0,0
16,16,1315846.8,67617,1824,1,11760,527808.95,393491.15,42682.4,60104.8,139667.05,81504.45,70588.0,7,1,171.0,0.285714285714286,1.0,-0.333333333333333,14.868556940201302,53.0,27146437.5,0.379272333263743,0,1
27,27,10825.0,162,71,43,9964,3570.0,2100.0,0.0,1100.0,2570.0,1485.0,0.0,1,1,3.0,0.0,0.0,-1.0,10.0,92.0,164400.0,0.0119389978213508,1,0
28,28,14553.2,567,258,1,9969,2691.0,5315.0,854.0,360.0,1580.2,3477.0,276.0,1,1,87.0,0.0,0.0,-1.0,7.0,93.0,279276.0,0.0095150119548558,0,0
36,36,4099.0,197,139,36,10159,1121.0,647.0,506.0,0.0,0.0,525.0,1300.0,0,0,241.987248271018,0.513808155977726,0.7105535999864592,-0.388748062059084,17.0,97.0,83190.0,0.0083627441461879,0,0
39,39,4680.0,267,95,15,19029,1432.0,2409.0,296.0,18.0,90.0,435.0,0.0,0,0,162.580307327188,0.4662210745325789,0.8742988140861591,-0.0935381415161603,75.0,96.0,97050.0,0.0034465819621936,0,0
43,43,29628.4,1610,787,59,10957,10135.0,6413.0,1594.0,2441.0,5833.4,1954.0,1258.0,2,1,251.0,0.0,0.0,0.0,3.0,78.0,511542.0,0.0187599711255227,1,0
44,44,2055.0,32,16,42,14330,525.0,420.0,0.0,165.0,420.0,525.0,0.0,1,1,247.0,1.0,1.0,0.0,4.0,88.0,39300.0,0.0084516129032258,0,0
55,55,2138.36,41,27,10,12662,621.3,496.59,0.0,227.76,32.54,760.17,0.0,1,1,442.0,1.0,0.0,-1.0,70.0,96.0,39308.1,0.0004597438596491,0,0
56,56,7608.0,424,73,1,18059,2628.0,4218.0,0.0,526.0,236.0,0.0,0.0,2,1,246.0,0.5,1.0,0.0,110.0,98.0,175668.00000000003,0.0009217062804974,0,0
58,58,1473.6,110,37,30,16964,72.0,36.0,0.0,780.0,549.6,36.0,0.0,1,1,367.0,0.0,1.00264986934419,-0.319301636301842,8.0,91.0,17208.0,0.0004674816625916,1,0
59,59,895.05,100,19,23,11844,314.0,441.0,0.0,70.0,70.05,0.0,0.0,0,0,195.159503217966,0.503853880486116,0.478967827947458,-0.750643295476747,35.0,90.0,21285.0,0.0001089861751152,1,0
68,68,7343.4,342,116,2,10430,1188.0,1584.0,452.0,938.0,1413.4,1268.0,500.0,1,1,379.0,1.0,0.425131184148861,-0.462679621556319,5.0,90.0,153390.0,0.0177534722222222,0,0
76,76,4509.0,369,99,38,15248,1376.0,2518.0,17.0,152.0,274.4,0.0,171.6,0,0,227.98928252249297,0.515646458495869,0.666100381297126,-0.355709484236276,55.0,96.0,89105.99999999999,0.0111216529848145,0,0
81,81,4413.6,248,48,52,11409,1418.0,312.0,1666.0,34.0,147.6,836.0,0.0,3,1,97.0,0.666666666666667,0.0,-0.333333333333333,3.0,83.0,67992.0,0.0027273164861612,0,0
82,82,2973.55,303,73,6,11120,0.0,2222.0,69.0,277.0,300.55,105.0,0.0,0,0,208.523496376989,0.502441768225291,0.8143669571106529,-0.5394545465695499,40.0,98.0,48797.99999999999,0.0002802067183462,0,0
84,84,74206.0,2937,286,2,10305,9876.0,9676.0,5256.0,19200.0,0.0,5924.0,24274.0,2,1,148.0,1.0,0.5,-0.5,5.0,86.0,1471860.0,0.175221428571429,0,1
89,89,5842.6,217,38,8,11242,283.0,385.0,90.0,1262.0,2854.6,0.0,968.0,0,0,215.429298583562,0.605984985029354,0.5937098779241979,-0.547194081070104,10.0,76.0,165228.00000000003,0.0029916349809885,1,0
94,94,16809.2,706,362,3,12473,1395.0,2853.0,1216.0,4077.0,2798.2,1112.0,3358.0,2,1,23.0,0.0,0.0,0.0,5.0,91.0,397722.0,0.0460326388888889,0,0
97,97,49231.0,1922,589,3,10650,7144.0,9526.0,1601.0,13965.6,4579.4,3161.0,9254.0,0,0,185.64503654153,0.6079016177197789,0.3777858880277379,-1.08214796883172,50.0,98.0,1082520.0,0.0096044716529145,0,1
99,99,2233.2,144,52,2,10927,1432.0,383.0,0.0,64.0,85.2,269.0,0.0,0,0,182.602514949231,0.604537443208634,0.7208399353475641,-0.591499274057093,1.0,71.0,41004.0,0.03417,0,0
114,114,99148.4,4547,1746,6,12361,22659.4,22360.4,9795.4,2549.0,10376.0,22346.2,9062.0,11,1,56.0,0.181818181818182,0.333333333333333,-0.111111111111111,3.0,90.0,1919502.0,0.125704125736739,0,1
119,119,8787.26,665,157,55,10003,3505.0,1044.0,104.0,0.0,361.26,2614.0,1159.0,0,0,241.562729101589,0.5030243717376379,0.625985413968837,-0.729567317263777,4.0,85.0,180675.6,0.037176049382716,0,0
120,120,1452756.4,74235,10195,0,9983,160648.0,340798.0,78842.0,0.0,291932.4,231978.0,348558.0,4,1,251.0,1.0,0.0,-3.0,3.0,88.0,27799908.0,2.13026114942529,0,1
124,124,11226.0,647,100,2,9813,3897.0,5972.0,435.0,349.0,0.0,573.0,0.0,0,0,189.920123738498,0.44928223361338,0.598673322988259,-0.362162730771541,250.0,98.0,167970.0,0.0010800540123456,0,0
145,145,2361.0,113,9,31,9333,0.0,0.0,0.0,100.0,2037.0,0.0,224.0,4,1,72.0,1.0,0.0,-4.0,7.0,93.0,63630.0,0.0034387236478839,1,0
146,146,94562.0,1840,1039,2,9295,22296.0,27020.0,17975.0,16170.0,1440.0,9661.0,0.0,4,1,11.0,1.0,1.0,0.0,75.0,96.0,1880940.0,0.0182049941927991,0,1
147,147,85794.0,1432,841,3,9281,26338.0,19693.0,10574.0,8104.0,10706.0,9047.0,1332.0,7,1,100.0,0.4285714285714289,0.4285714285714289,-0.4285714285714289,95.0,95.0,1641060.0,0.0125377034150814,0,1
157,157,7302.0,300,95,15,9093,837.0,1691.0,330.0,1755.0,0.0,830.0,1859.0,4,1,428.0,0.25,0.75,0.0,100.0,93.0,142470.0,0.0011282965074839,0,0
160,160,13585.0,167,112,45,8996,4095.0,5615.0,0.0,0.0,2510.0,1365.0,0.0,1,1,217.0,1.0,1.0,0.0,1400.0,90.0,240450.0,4.15011883372082e-05,0,0
168,168,195195.2,8763,3732,1,8774,70.0,58836.0,1280.4,4271.0,75366.8,4070.0,51301.0,0,0,129.513838299866,0.6150693140275351,0.383025680694364,-0.5805405040579279,3.0,88.0,3602256.0,0.2359041257367389,0,1
172,172,8317.0,243,108,23,8652,1810.0,3518.0,0.0,910.0,965.0,630.0,484.0,0,0,169.466087847201,0.4575396164168061,0.6267583990471229,-0.6558965731024139,12.0,94.0,177228.00000000003,0.0080904518833322,0,0
183,183,71668.0,3833,810,0,8401,16920.0,19748.0,10332.0,800.0,4084.0,12350.0,7434.0,2,1,112.0,0.5,0.5,-1.5,1.0,86.0,1360080.0,0.5812307692307691,0,1
185,185,68300.4,3481,1173,0,8392,12352.0,17152.0,3648.0,1468.0,24712.4,6514.0,2454.0,0,0,161.481770764035,0.6035232960227421,0.81311732046147,-0.643346918410172,1.0,86.0,1353972.0,0.578620512820513,0,1
186,186,4565.0,55,35,43,8364,1470.0,945.0,580.0,0.0,1150.0,420.0,0.0,0,0,235.21303028275292,0.686384111424761,0.813820110416316,-0.352481294328563,10.0,86.0,96750.0,0.0082904884318766,0,0
194,194,7489.0,429,124,3,9815,2778.0,1798.0,649.0,436.0,0.0,1828.0,0.0,0,0,186.378461200169,0.526936862852643,0.608387775108824,-0.350641088421427,4.0,88.0,131340.0,0.0263734939759036,0,0
196,196,6690.2,273,61,3,9660,1842.0,1312.0,2361.6,126.0,0.0,453.0,595.6,0,0,216.282881254966,0.472626445359991,0.600748297272755,-0.3394964897726469,42.0,91.0,144006.0,0.0016000666666666,0,0
222,222,99917.0,2713,997,0,9590,29759.0,28525.0,8760.0,7667.0,16474.0,7045.0,1687.0,0,0,173.436037292456,0.562317462867434,0.6681800543029179,-0.893005896075518,5.0,80.0,1912350.0,0.306466346153846,0,1
225,225,38081.29,3069,308,1,9606,6845.0,10860.0,1430.0,3080.0,1821.29,2205.0,11840.0,12,1,45.0,0.666666666666667,0.0,-1.0,7.0,86.0,768638.7,0.0329746332046332,0,0
228,228,49041.0,2278,240,3,9660,9969.0,11172.0,7031.0,3995.0,3124.0,4470.0,9280.0,0,0,168.91723972404898,0.419951941590134,0.633698901982797,-0.291153699869706,400.0,100.0,1001880.0,0.0001269993383074,0,1
238,238,75244.6,2821,501,7,9576,11529.0,19301.0,0.0,18245.0,5412.4,4222.0,16535.2,2,1,282.0,0.0,0.0,-1.0,23.0,93.0,1660428.0,0.0039715556831228,0,1
240,240,56138.0,2562,1001,3,9905,14760.4,11693.0,2038.0,1282.0,6546.0,3879.0,15939.6,0,0,161.6606871168,0.62886879934819,0.444296596747223,-0.626400697542007,2.0,86.0,941160.0,0.0640244897959184,1,0
249,249,120177.0,1401,517,2,9505,34962.0,49730.0,4290.0,13475.0,6380.0,11340.0,0.0,1,1,510.0,0.0,0.0,0.0,90.0,96.0,2195940.0,0.0199395260147099,0,1
254,254,82420.0,867,209,34,9262,28980.0,11415.0,5225.0,550.0,30205.0,6045.0,0.0,1,1,328.0,1.0,0.957120233994388,-0.190129894419223,50.0,95.0,1446000.0,0.0116144578313253,0,1
255,255,76238.0,6135,1497,2,9289,27432.0,6140.0,3134.0,6652.0,8236.0,22608.0,2036.0,0,0,170.372277693817,0.744498684025722,0.7455775525786892,-0.5049715029199929,6.0,83.0,1458540.0,0.199254098360656,0,1
256,256,103062.0,8395,2265,2,9285,40262.0,15686.0,5376.0,5446.0,7164.0,23368.0,5760.0,0,0,190.127608832553,0.6602237788254721,0.6472014499061299,-0.338172867008276,35.0,91.0,1948620.0,0.0455178696566223,0,1
263,263,72098.51,15712,1935,0,9660,7582.0,10847.0,3559.0,4220.0,19061.51,2024.0,24805.0,0,0,148.605957890735,0.7508757927912509,0.879241775187558,-0.130032573831111,1.0,78.0,1464702.3,0.238162975609756,0,1
264,264,7130.8,536,171,20,9660,3224.0,3178.0,50.0,0.0,0.0,650.0,28.8,0,0,187.804465060386,0.469445148333319,0.517526754587184,-0.437119173422521,3.0,86.0,138324.0,0.0377934426229508,0,0
277,277,26632.1,776,432,13,9705,10434.35,12871.45,0.0,0.0,0.0,3326.3,0.0,0,0,187.24975215650292,0.4107207424196989,0.584656401122035,-0.806315493390013,24.0,95.0,501690.0,0.0170817160367722,0,0
286,286,289001.15,12693,4205,2,8758,44725.0,59731.0,7279.0,8317.0,88064.55,56927.0,23957.6,3,1,69.0,1.0,0.0,-0.333333333333333,850.0,90.0,5708316.000000001,0.0016569905863297,0,1
290,290,16411.77,7478,521,0,8516,4687.0,3349.0,301.2,2080.0,1587.57,2147.0,2260.0,0,0,200.523716226024,0.5900879988672451,0.48289529272386,-0.558659684297153,4.0,85.0,324034.8,0.0662647852760736,0,0
296,296,41196.8,2180,607,0,8516,9861.0,17734.0,1921.8,123.0,5308.0,3039.0,3210.0,1,1,139.0,1.0,0.0,-3.0,4.0,86.0,787614.0,0.161066257668712,0,0
298,298,771038.79,35413,9192,1,8516,5201.4,239250.8,4773.0,92065.35,178147.89,107027.35,144573.0,10,1,80.0,1.0,0.666666666666667,0.666666666666667,30.0,98.0,14637217.2,0.097737828525641,0,1
302,302,60254.2,2212,516,28,8516,0.0,0.0,0.0,11228.0,12818.2,280.0,35928.0,11,1,114.0,0.363636363636364,0.333333333333333,-0.333333333333333,125.0,100.0,1140906.0,0.036871130989455,0,1
305,305,54160.6,2538,810,37,8516,0.0,5193.0,1752.0,2632.0,29973.6,3304.0,11306.0,1,1,23.0,0.0,0.0,-1.0,125.0,100.0,1088238.0,0.0232360044894222,0,1
310,310,111148.4,8661,1564,1,8516,39736.0,28746.0,6099.4,2568.0,2394.0,18095.0,13510.0,4,1,261.0,0.5,0.0,-1.0,25.0,96.0,2201772.0,0.0720239450441609,0,1
315,315,55277.4,2867,769,2,8516,9844.0,5103.0,1170.0,4842.4,13135.6,4528.0,16654.4,2,1,128.0,1.0,0.0,-1.0,12.0,91.0,1169712.0,0.0189728530246746,0,1
317,317,1707.0,80,26,42,8516,452.0,415.0,0.0,108.0,199.0,279.0,254.0,9,1,44.0,0.555555555555556,1.25,0.0,28.0,96.0,12420.0,0.0003133989401968,1,0
318,318,4680.0,266,57,10,8516,2075.0,792.0,616.0,383.0,390.0,424.0,0.0,0,0,182.377299853307,0.446427971306531,0.627057742732433,-0.4621821591479221,35.0,90.0,126120.0,0.0003696799155821,0,0
351,351,2296.8,116,21,9,8497,221.0,0.0,401.8,34.0,54.0,51.0,1535.0,1,1,356.0,0.0,0.797486146178587,-0.5854625102712739,14.0,91.0,44364.0,0.0026597122302158,0,0
353,353,1521092.01,130886,11165,1,8497,406982.8,504959.0,36443.8,144290.4,91610.41,146593.6,190212.0,0,0,30.196555683192702,0.7494510232436501,0.0008519871737198,-1.74679753872519,3.0,80.0,27689910.6,1.38588141141141,0,1
354,354,97838.0,6433,2146,0,8497,40464.0,27751.0,7531.0,2936.0,1628.0,15268.0,2260.0,1,1,350.0,1.0,0.6178428347561539,-0.404095027040229,70.0,96.0,1880190.0,0.0219520140105079,0,1
355,355,10148.0,530,33,10,8497,3496.0,1248.0,280.0,2468.0,416.0,2240.0,0.0,2,1,331.0,0.5,1.1591051504112,-0.5971685298660571,180.0,98.0,263640.0,5.05217166345684e-05,0,0
362,362,14660.2,686,465,0,8497,2640.0,1765.0,1747.0,4193.0,1447.2,1276.0,1592.0,0,0,173.953472538428,0.492423179688539,0.606978424653392,-0.641564565582047,3.0,90.0,286896.0,0.036506016368688,0,0
391,391,1326.0,57,29,0,8497,180.0,108.0,108.0,396.0,102.0,144.0,288.0,3,1,189.0,0.666666666666667,0.0,-1.0,36.0,100.0,39780.0,0.000371012870733,0,0
401,401,1136.0,64,10,22,8497,602.0,0.0,0.0,534.0,0.0,0.0,0.0,0,0,175.231530518729,0.476647577860997,0.7495681675491421,-0.221183317254822,2.0,85.0,22680.0,0.0082173913043478,0,0
418,418,192621.0,9790,1614,0,8497,50049.0,65417.2,1436.0,2508.0,6426.0,39290.8,27494.0,1,1,332.0,0.0,0.285341950808492,-0.569104085990236,3.0,90.0,3854070.0,0.257452905811623,0,1
421,421,53990.1,5111,1053,1,8497,27198.0,8020.0,5336.0,3014.0,2212.1,6230.0,1980.0,5,1,153.0,0.8,0.666666666666667,0.0,20.0,93.0,1022232.0,0.0418090797546012,0,1
441,441,2381.2,119,31,38,9192,512.0,256.0,0.0,0.0,1357.2,256.0,0.0,6,1,84.0,0.166666666666667,1.4,-0.2,3.0,88.0,48756.0,0.0084337358401425,0,0
444,444,292901.95,16743,638,0,9191,74703.2,149779.65,31.3,4147.0,4818.0,44931.2,14491.6,1,1,164.0,1.0,0.0,0.0,10.1391638528437,48.0,5813913.0,0.483665153255961,0,1
453,453,63747.6,946,750,2,9187,25410.0,11350.0,12070.0,4268.0,5711.6,3438.0,1500.0,6,1,76.0,0.5,0.659722222222222,-0.5,14.0,93.0,1222278.0,0.0535382391590013,0,1
457,457,3655.0,210,71,48,9187,1183.0,1425.0,0.0,0.0,0.0,664.0,383.0,1,1,469.0,0.0,0.0,0.0,85.0,100.0,64770.0,8.21318522463575e-05,0,0
464,464,1105.0,16,13,51,9187,420.0,105.0,165.0,110.0,40.0,265.0,0.0,3,1,91.0,0.0,0.666666666666667,-2.3333333333333304,6.0,90.0,0.0,0.0,1,0
475,475,1959.0,113,55,56,8504,587.0,399.0,210.0,296.0,155.0,36.0,276.0,2,1,90.0,0.5,0.0,-3.0,12.0,83.0,30720.0,0.000474074074074,1,0
480,480,10136.0,288,134,13,9185,1739.0,1838.0,1326.0,1535.0,1535.0,1251.0,912.0,5,1,23.0,0.2,0.0,-0.333333333333333,9.0,91.0,192900.0,0.0174981981561383,0,0
496,496,20969.0,959,109,7,9183,6678.0,2291.0,4802.0,1290.0,260.0,5648.0,0.0,0,0,160.577577710882,0.420422381769823,0.64173194805679,-0.649757155292712,96.0,100.0,389730.0,0.0091419102931125,0,0
504,504,2995.0,108,56,55,9180,616.0,491.0,352.0,0.0,1248.0,288.0,0.0,4,1,87.0,0.25,1.0,-0.25,2.0,83.0,63420.0,0.0112422603131919,0,0
509,509,49659.0,1265,829,0,9660,7513.0,9674.0,2836.0,16671.6,3520.0,7320.0,2124.4,6,1,240.0,0.666666666666667,0.833333333333333,-0.166666666666667,80.0,98.0,1055820.0,0.0059299073294018,0,1
511,511,13161.84,849,125,10,9660,6287.0,3406.0,1232.0,672.0,-137.16,1150.0,552.0,5,1,400.0,1.0,0.0,-1.33333333333333,5.0,90.0,200199.0,0.0079444047619047,0,0
523,523,147280.39,16783,1616,2,8459,29663.0,22662.0,8220.2,13104.0,37846.19,13323.0,22462.0,2,1,6.0,0.5,0.0,-1.5,15.0,97.0,2642681.6999999997,0.13030974852071,0,1
525,525,61105.4,3097,942,1,8445,12604.0,12063.0,4859.8,3315.0,4800.8,6946.0,16516.8,3,1,64.0,0.333333333333333,0.0,-0.5,13.0,96.0,1164012.0,0.0133416177525441,0,1
545,545,9387.0,605,263,24,8297,3084.0,1340.0,1554.0,546.0,143.0,2720.0,0.0,1,1,441.0,0.0,1.0,0.0,4.0,88.0,152340.0,0.0311533742331288,0,0
546,546,48701.55,2224,913,3,8192,12279.25,16535.25,1666.8,3307.95,5944.65,6867.65,2100.0,3,1,304.0,0.0,0.774710729903926,-0.49093577877661,1.0,86.0,1068850.5,0.4567737179487179,0,1
547,547,7931.0,445,76,8,8183,2789.0,817.0,1262.0,0.0,0.0,2847.0,216.0,2,1,59.0,0.5,0.0,-2.0,51.0,91.0,159390.0,0.0012023082145281,0,0
550,550,60666.0,3344,1283,0,8350,16845.0,19718.0,5344.0,2095.0,0.0,12262.0,4402.0,2,1,170.0,0.5,0.0,0.0,3.0,88.0,1199820.0,0.078573673870334,0,1
559,559,58550.2,2665,903,7,8226,21806.95,10337.7,9736.6,4516.75,4102.8,8049.4,0.0,0,0,159.683175402486,0.518000137973916,0.6470967081903779,-0.547285726496835,40.0,96.0,1076577.0,0.0220023911710607,0,1
567,567,55482.0,1668,1024,0,8155,10115.0,7303.0,5492.0,2809.0,18271.0,5912.0,5580.0,2,1,78.0,0.0,0.5,0.0,14.0,94.0,1069320.0,0.0413503480278422,0,1
570,570,70858.0,3954,561,7,8128,35003.0,25295.0,2016.0,0.0,5594.0,2844.0,106.0,0,0,14.5557753791012,0.478795129267688,0.7572943125136059,-0.11873403989114,3092.0,100.0,1292400.0,1.05694188537038e-05,0,1
573,573,4032.0,233,49,2,8099,776.0,2662.0,156.0,0.0,85.0,353.0,0.0,1,1,366.0,1.0,0.5082244673444271,-0.2123658238743889,59.0,99.0,79650.0,0.0004585492227979,0,0
578,578,15512.0,532,247,37,8120,0.0,0.0,0.0,0.0,3486.0,0.0,12026.0,3,1,1.0,0.0,1.6666666666666698,0.666666666666667,60.0,100.0,348120.0,0.0090987414890586,0,0
580,580,57298.2,2974,1245,6,8077,11366.0,17144.0,1732.0,1454.0,18632.2,6222.0,748.0,10,1,78.0,0.6,0.5,-0.3,1800.0,100.0,1060506.0,8.08899905230441e-05,0,1
582,582,97212.0,10188,1593,2,8066,30251.0,9493.0,11302.0,7784.0,10181.0,13430.0,14771.0,0,0,202.20040260522492,0.72118059075278,0.393356627049933,-0.500141767045135,30.0,96.0,1896570.0,0.0450598717034925,0,1
586,586,60168.0,3074,60,8,8065,17556.0,7608.0,0.0,0.0,0.0,20388.0,14616.0,0,0,186.66265907875305,0.465126527784299,0.5330334959848351,-0.4557243363706749,12.0,81.0,1235880.0,0.0140492485488654,0,1
589,589,2582.4,129,67,3,8032,622.0,276.0,0.0,680.0,660.4,104.0,240.0,0,0,159.250546353564,0.431302018991864,1.06425102226338,-0.202767277850013,15.0,91.0,57120.0,0.0021986143187067,0,0
601,601,123828.29,2254,406,0,8058,26127.0,13991.0,7315.0,5445.0,54540.29,4830.0,11580.0,0,0,151.542863352606,0.5003126589966571,0.647604948100686,-0.429293898505136,10.0,91.0,2276478.9000000004,0.162489571734475,0,1
616,616,69539.4,2432,396,0,9660,8864.0,9639.0,2323.0,27840.0,10782.0,4800.0,5291.4,2,1,342.0,0.5,0.0,-1.0,200.0,98.0,1628892.0,0.0047850885696659,0,1
617,617,47883.0,1824,539,1,9660,5106.0,9531.0,1851.0,8235.0,6502.0,3058.0,13600.0,4,1,81.0,0.5,1.0,-0.5,185.0,98.0,1070970.0,0.003401200457317,0,1
623,623,4100.0,55,29,57,9660,630.0,945.0,0.0,495.0,585.0,1445.0,0.0,2,1,134.0,0.5,1.0,0.0,8.0,94.0,63000.0,0.0027476053113328,0,0
626,626,151705.97,6823,3751,2,8227,12312.25,40643.98,5863.04,5293.92,30736.4,3058.38,53798.0,0,0,182.633582930916,0.7393859415212,0.5668517453847829,-0.451442085723901,17.0,89.0,2625860.7,0.109138017456359,0,1
632,632,3060.0,40,28,20,9579,840.0,735.0,0.0,0.0,365.0,1120.0,0.0,0,0,223.141785370762,0.451092690594129,0.538879482248696,-0.5536982515275171,10.0,92.0,51300.0,0.0036228813559322,0,0
649,649,31366.0,966,390,6,9660,6312.0,9339.0,3414.0,6422.0,2000.0,3447.0,432.0,2,1,86.0,1.0,1.5,0.5,75.0,98.0,688290.0,0.005392009400705,0,0
652,652,70856.4,2010,742,6,9660,7271.0,10058.0,1761.0,25088.0,9950.0,6138.0,10590.4,10,1,23.0,0.5,1.1,-0.4,220.0,98.0,1614912.0,0.0043126422047748,0,1
663,663,66141.0,1031,448,0,10066,15247.0,12852.0,385.0,7938.0,17688.0,7917.0,4114.0,2,1,80.0,0.5,1.0,0.0,40.0,90.0,1226820.0,0.0216484912652197,0,1
665,665,23206.6,667,364,1,9184,3083.0,3724.0,259.0,6111.6,4062.0,1173.0,4794.0,2,1,24.0,0.5,0.5,-0.5,50.0,98.0,496458.0,0.0058351904090268,0,0
666,666,43775.0,1602,572,0,8234,9521.0,12157.0,922.0,8027.0,4436.0,3498.0,5214.0,1,1,436.0,0.0,1.0,1.0,100.0,98.0,1011270.0,0.0059420059933016,0,1
667,667,8300.43,190,88,21,8128,314.25,376.63,163.92,3616.0,2087.0,376.63,1366.0,2,1,50.0,0.0,0.0,-1.0,12.0,92.0,136194.9,0.0066762205882352,0,0
672,672,62953.4,789,530,6,8751,17640.0,16006.4,4070.0,7943.0,6737.0,10485.0,72.0,5,1,86.0,0.2,0.75,-0.25,75.0,96.0,1221462.0,0.0114950310559006,0,1
685,685,59667.6,1643,639,0,9660,9577.0,11818.0,550.0,24200.0,4067.0,6188.0,3267.6,2,1,21.0,0.5,1.0,0.0,125.0,96.0,1324248.0,0.0062241398759165,0,1
686,686,16522.0,715,99,29,9660,6090.0,3087.0,2475.0,0.0,2875.0,1995.0,0.0,0,0,218.15199295867905,0.477078930975993,0.622256663283713,-0.6432329753533,8.0,91.0,336150.0,0.0297214854111406,0,0
690,690,47843.0,1254,632,1,9660,8429.0,15194.0,105.0,3850.0,14455.0,3542.0,2268.0,13,1,7.0,0.538461538461538,0.375,-0.375,3.0,90.0,894750.0,0.0603744939271255,0,0
692,692,56424.8,1777,540,0,9660,7352.0,9494.0,1176.0,15004.0,4745.0,4813.0,13840.8,1,1,2.0,1.0,0.0,-1.0,225.0,98.0,1271004.0,0.0080027956176803,0,1
694,694,46592.4,2296,834,14,8427,7121.0,17236.0,390.0,4208.0,4898.0,3507.0,9232.4,7,1,72.0,0.5714285714285711,0.0,-0.991666666666667,630.0,97.0,1009512.0,0.0070015855722792,0,1
704,704,161329.0,8743,1599,1,8245,44261.0,52029.0,0.0,19421.0,20981.0,14851.0,9786.0,5,1,106.0,0.8,0.0,-1.25,1.0,86.0,2999490.0,0.1740201683986119,0,1
705,705,6072.0,334,85,15,7960,2152.0,2233.0,0.0,55.0,-205.0,1837.0,0.0,2,1,458.0,0.5,0.0,-0.5,9.0,93.0,114600.0,0.0079417879417879,0,0
709,709,4437.0,254,49,22,9660,1363.0,1345.0,0.0,103.0,0.0,1626.0,0.0,0,0,185.663518166294,0.4999657194440901,0.8079678261900641,-0.627711818422955,4.0,91.0,87210.0,0.0094690553745928,0,0
713,713,1049.6,57,13,6,9116,315.0,297.0,0.0,0.0,18.0,70.0,349.6,0,0,167.631607990307,0.351454233161774,0.4375674779123209,-0.716523188840442,3.0,89.0,20418.0,0.0022915824915824,0,0
721,721,1156.0,57,20,23,9660,155.0,191.0,240.0,0.0,138.0,138.0,294.0,0,0,211.860081654017,0.463319581988346,0.7697890119648979,-0.419666902005126,70.0,100.0,21720.0,0.0001043678823699,0,0
726,726,75356.6,4013,1317,6,9660,10754.0,23310.0,5622.0,870.0,8383.2,18699.0,7718.4,2,1,353.0,1.0,0.516831466395149,-0.6035687191627429,15.0,93.0,1339338.0,0.0216616205725376,0,1
731,731,5550.0,64,48,14,10229,2330.0,1470.0,0.0,330.0,95.0,1325.0,0.0,0,0,197.416399703972,0.484225878602152,0.7576497208165028,-0.63872627126527,7.0,91.0,100200.0,0.0098235294117647,0,0
733,733,4453.8,294,63,28,10228,959.0,1629.0,0.0,125.0,220.8,1412.0,108.0,0,0,187.59898714884704,0.3502438368970629,0.667709668239948,-0.410350140479057,5.0,93.0,60617.99999999999,0.0075231854632334,1,0
745,745,2824.0,162,66,2,9316,994.0,366.0,529.0,0.0,295.0,640.0,0.0,0,0,169.064122840495,0.510698167848494,0.6168895192439809,-0.9127739291933952,55.0,100.0,53100.0,0.0001505742237345,0,0
770,770,16025.0,590,134,16,9660,2178.0,3909.0,654.0,4964.0,2275.0,2045.0,0.0,1,1,296.0,0.0,0.717843221790369,-0.8770869634020642,30.0,95.0,323670.0,0.0063390129259694,0,0
772,772,9984.4,403,214,16,8305,1573.0,2024.0,1658.4,45.0,280.0,138.0,4266.0,1,1,395.0,1.0,0.537970407378921,-0.584080613745301,4.0,76.0,205062.0,0.0140357289527721,0,0
783,783,305308.1,11005,3192,2,9660,3015.0,104906.2,11465.8,13500.4,110157.75,34240.55,28022.4,0,0,71.4298102528837,0.940260216947553,0.0265217370037775,-0.349234122530757,1500.0,90.0,5702313.0,0.0016456891774891,0,1
784,784,1066.0,55,16,30,8064,296.0,122.0,122.0,70.0,0.0,244.0,212.0,0,0,204.825412567026,0.451801668994334,0.692835370034675,-0.8491942408893609,12.0,90.0,15660.0,0.0138161847076971,1,0
796,796,522.0,25,6,38,9660,0.0,0.0,0.0,192.0,10.0,320.0,0.0,0,0,189.26247102453095,0.6537076409540601,0.6761353054775799,-0.270318995727416,5.0,80.0,6720.0,0.0005833333333333,1,0
802,802,91135.04,2579,779,1,8102,28112.61,19725.54,7296.17,14279.01,8792.13,11195.58,1734.0,0,0,192.344884041128,0.532193056988574,0.577648475331066,-0.6513257377624929,85.0,100.0,1554542.0999999999,0.0025780134328358,0,1
805,805,59785.0,788,523,3,10698,25155.0,19560.0,0.0,6105.0,3595.0,5370.0,0.0,5,1,49.0,0.4,1.33333333333333,0.666666666666667,30.0,96.0,1142250.0,0.0311834561834562,0,1
